city,companyFullName,companyLabelList,companySize,education,financeStage,firstType,industryField,jobNature,latitude,longitude,positionAdvantage,positionId,positionLables,positionName,salary_high,salary_low,workYear,Salary
上海,上海方付通商务服务有限公司,"['技能培训', '节日礼物', '岗位晋升', '五险一金']",500-2000人,本科,不需要融资,设计,"移动互联网,金融",全职,31.22457986,121.54909,薪资优待 福利完善,2337314,[],数据分析师,15,30,3-5年,22500
成都,广东鸿特普惠信息服务有限公司,"['年底双薪', '带薪年假', '美女多', '五险一金']",2000人以上,本科,D轮及以上,开发/测试/运维类,金融,全职,30.631306,104.067586,"双休,五险一金,年终奖,旅游",3871783,"['银行', '数据挖掘', '可视化', 'SPSS', 'sas']",副总裁助理（数据分析经理）,10,20,3-5年,15000
上海,上海云兜网络科技有限公司,"['股票期权', '绩效奖金', '岗位晋升', '年度旅游']",50-150人,本科,A轮,产品/需求/项目类,"电子商务,教育",全职,31.242574,121.437768,"五险一金,带薪年假,做五休二,弹性工作",3386312,"['金融', '专员', '大数据', 'SPSS']",BI数据分析,8,16,1-3年,12000
上海,拉扎斯网络科技（上海）有限公司,"['节日礼物', '绩效奖金', '年度旅游', '岗位晋升']",2000人以上,本科,D轮及以上,开发/测试/运维类,移动互联网,全职,31.23297317,121.3814514,五险一金 年终奖金 不断发展 弹性工作,3771264,"['数据挖掘', 'SPSS', 'sas']",高级/资深数据分析师,9,18,1-3年,13500
杭州,杭州嘉云数据科技有限公司,"['有意思的团队', '大市场', '好待遇', '帅哥多']",150-500人,本科,C轮,产品/需求/项目类,"电子商务,移动互联网",全职,30.277356,120.124444,海量数据库,4078048,"['商业', '大数据', '数据挖掘', '统计']",数据分析师 / 数据科学家,15,25,3-5年,20000
成都,成都聚梦科技有限公司,"['年底双薪', '带薪年假', '节日礼物', '五险一金']",50-150人,大专,不需要融资,产品/需求/项目类,游戏,全职,30.586649,104.055698,"五险一金,年底双薪,员工活动,节假日福利",3912352,"['专员', '运营', '大数据', '数据管理']",数据分析,5,10,1-3年,7500
杭州,杭州群核信息技术有限公司,"['两次加薪', '弹性工作', '期权丰厚', '两次晋升']",500-2000人,本科,C轮,开发/测试/运维类,移动互联网,全职,30.293154,120.108647,期权激励、年度旅游、弹性工作、氛围欢乐,3990582,"['大数据', '数据挖掘']",数据分析专家,22,35,3-5年,28500
北京,一九零五（北京）网络科技有限公司,"['年底双薪', '节日礼物', '管理规范', '通讯津贴']",150-500人,本科,未融资,产品/需求/项目类,"社交网络,文化娱乐",全职,39.976549,116.354098,五险一金 地铁周边 机会多,4032246,"['视频', '大数据', '数据挖掘']",数据分析师,14,22,3-5年,18000
上海,上海晓鹿信息科技有限责任公司,"['带薪年假', '年底双薪', '绩效奖金', '专项奖金']",少于15人,本科,天使轮,开发/测试/运维类,"电子商务,金融",全职,31.266405,121.483455,"五险一金,竞争力薪酬,公司氛围好,快速成长",4051203,"['金融', '量化', '机器学习', '风控建模']",数据分析师,15,25,1-3年,20000
北京,北京默契破冰科技有限公司,"['去他的考勤', '高手云集', '股票期权', '年底N薪']",50-150人,本科,B轮,产品/需求/项目类,"移动互联网,社交网络",全职,39.940498,116.436939,"六险一金,弹性不打卡,免费午餐,季度旅游",3569199,"['游戏', '社交', '文化娱乐', '大数据', '数据挖掘']",数据分析师,15,30,3-5年,22500
杭州,支付宝(杭州)信息技术有限公司,"['年底双薪', '带薪年假', '股票期权', '绩效奖金']",2000人以上,不限,B轮,开发/测试/运维类,"金融,移动互联网",全职,30.272627,120.125788,"股票期权,技术挑战,福利齐全,职位机遇",3730818,"['数据挖掘', 'ETL', '数据仓库', '建模', '数据治理']",蚂蚁金服-数据分析师/专家-网商银行,20,40,不限,30000
北京,京东金融,"['供应链金融', '消费金融', '众筹业务', '支付业务']",2000人以上,本科,上市公司,开发/测试/运维类,金融,全职,39.787557,116.560575,大平台；晋升机会多；免费班车；内购福利。,3791765,"['支付', '数据挖掘', '用户研究']",数据分析与建模师,15,30,不限,22500
北京,光合新知（北京）科技有限公司,"['产品领先行业', '关注学习本源', '明星跨界团队', '股票期权']",150-500人,大专,B轮,产品/需求/项目类,"移动互联网,教育",全职,39.991999,116.500139,"年假15天,免费早午餐,五险一金,免费班车",3451132,"['高级', '运营', '产品经理', '大数据']",BI 数据分析,10,20,1-3年,15000
上海,上海倾听信息技术有限公司,"['明星直播', '男女1:1', '带薪年假', '扁平管理']",150-500人,不限,D轮及以上,开发/测试/运维类,移动互联网,全职,31.2181055,121.5312816,12天带薪年假，团队氛围佳，车补，午餐补,3565966,['数据挖掘'],数据分析工程师,18,30,1-3年,24000
广州,广州酷旅旅行社有限公司,"['牛人云集', '技能培训', '豪华下午茶', '酒店预订']",500-2000人,本科,D轮及以上,产品/需求/项目类,"电子商务,生活服务",全职,23.12407,113.373772,成长空间大，公司氛围好，团队关系简单,3987530,"['业务运营', '项目管理', '风控', '审核']",数据分析专员（商业分析方向）,4,8,1-3年,6000
上海,上海方付通商务服务有限公司,"['技能培训', '节日礼物', '岗位晋升', '五险一金']",500-2000人,本科,不需要融资,产品,"移动互联网,金融",全职,30.994275,121.99341,"六险一金,带薪年假,定期体检,节日福利",2307566,[],高级数据分析专员,20,40,3-5年,30000
成都,广东鸿特普惠信息服务有限公司,"['年底双薪', '带薪年假', '美女多', '五险一金']",2000人以上,本科,D轮及以上,金融类,金融,全职,30.568751,104.063392,"五险一金,周末双休,带薪年假,节假日福利",3603248,"['支付', '行业研究', '策略设计', '策略']",数据分析专员（风控）,4,7,1-3年,5500
杭州,支付宝(杭州)信息技术有限公司,"['年底双薪', '带薪年假', '股票期权', '绩效奖金']",2000人以上,本科,B轮,开发/测试/运维类,"金融,移动互联网",全职,30.272627,120.125788,"股票期权,技术挑战,技能培训,职位机遇",3698324,"['资深', '数据挖掘', '机器学习', '人工智能']",蚂蚁金服-数据分析专家/高级专家,25,50,不限,37500
北京,京东金融,"['供应链金融', '消费金融', '众筹业务', '支付业务']",2000人以上,硕士,上市公司,产品/需求/项目类,金融,全职,39.786653,116.562968,大平台,4071787,"['大数据', 'BI', '可视化', '业务运营', 'SPSS']",资深数据分析专家,30,45,5-10年,37500
北京,光合新知（北京）科技有限公司,"['产品领先行业', '关注学习本源', '明星跨界团队', '股票期权']",150-500人,大专,B轮,开发/测试/运维类,"移动互联网,教育",全职,39.991999,116.500139,"免费早午餐,年假15天,指数级增长,数据量大",3983242,"['高级', '中级', '运营', '产品经理', '大数据']",数据分析,10,20,1-3年,15000
上海,上海倾听信息技术有限公司,"['明星直播', '男女1:1', '带薪年假', '扁平管理']",150-500人,本科,D轮及以上,产品/需求/项目类,移动互联网,全职,31.2181055,121.5312816,弹性工作，年轻化团队，行业领先平台,3986226,"['金融', '高级', '业务运营', '大数据', '数据挖掘']",数据分析师,15,25,3-5年,20000
天津,天津嘉业智德网络科技有限公司,"['带薪年假', '绩效奖金', '年度旅游', '岗位晋升']",500-2000人,本科,未融资,运营/编辑/客服,"数据服务,其他",全职,39.110442,117.180975,发展空间大,2707748,[],数据分析师,5,10,1-3年,7500
