company,job_name,salary,city,work_year,education,job_description
先贸网络科技技术部招聘,大数据分析工程师,15k-18k,广州,经验1-3年,本科及以上,"<div>
        <p>职位描述:</p>
<p>1、 根据业务需求，运用数据挖掘技术，开发、验证、监控及维护贷前和贷后评估模型；</p>
<p>2、 能利用数据分析手段，对多种数据源进行深度诊断性组合分析、挖掘、深度分析，并通过分析潜在业务机会给出建议；</p>
<p>3、 应用机器学习、文本挖掘等技术，对海量数据进行挖掘，发现其潜在关系，研发符合客户的大数据产品；</p>
<p>4、 配合业务部门给予数据支持，帮助业务部门优化运营服务，设计符合用户个性化需求的产品；对欺诈风险、信用风险进行量化分析，为信贷政策的制定和调整、贷后管理、催收管理等提供决策依据</p>
<p>5、 通过大数据挖掘用户群体行为和属性特征，帮助业务单元更好的理解客户需求；</p>
<p>6、 参与公司大数据平台的规划与建设。</p>
<p><br></p>
<p>任职资格要求：</p>
<p>1、 本科及以上学历， 金融、数学、统计、计算机等相关专业优先；</p>
<p>2、 具备大数据的处理能力，有较强的逻辑思维能力、数据挖掘和分析能力，熟练使用 SPSS/R/SAS 等数据分析工具，至少熟悉一种开源数据挖掘工具；</p>
<p>3、 良好的数据敏感度,能从海量数据提炼核心结果；有丰富的数据分析、挖掘、清洗和建模的经验；</p>
<p>4、 至少对聚类、决策树、逻辑回归、神经网络、随机森林等算法的其中一种有过研究；</p>
<p>5、 具备良好的抗压能力、沟通能力、逻辑思维能力，有独立开展分析研究项目经验，具有强烈的责任心，具备良好的团队合作精神，积极主动，能承受较大的工作压力；</p>
<p><br></p>
<p>6、有1 年以上供应链金融、小微企业金融、消费金融等领域的大数据分析和建模经验；有参与过大数据平台规划和建设经验的尤佳；</p>
        </div>"
美兴中国创新科技部招聘,数据分析师 Data Analyst,7k-14k,成都,经验3-5年,本科及以上,"<div>
        <p class="""">As a member of the China Innovation and Technology team you will become the reference within Microcred China in all issues related to data treatment, data quality, data analysis and data visualization. You will translate different and complex data sources into valuable strategic insight thanks to your proficiency in data analysis and a deep understanding of all the steps from raw data sources to final analysis. You will advise teams both at Holding and Subsidiaries level on the best analytical practices from both a methodological and technological perspective. In close cooperation with IT you will lead the process of prioritising internal and external data asset to setup the evolution of Microcred data architecture. Finally as visualization is an important dimension of data analysis you will have outstanding skills in visualizing data in an en elegant and easy-to-catch way and in presenting the results of your analytical job.</p>
<p class=""""><br></p>
<p class=""""><strong>Responsibilities : </strong></p>
<p class="""">Becoming a reference as an expert in Data Analytics and as a provider of timely and valuable information.</p>
<ul class="" list-paddingleft-2"">
 <li><p>Translate different and complex data sources into key strategic insight</p></li>
 <li><p>Advise teams both at Holding and Subsidiaries level on best practices in Data Analytics from both a technical, methodological and technology perspective</p></li>
 <li><p>Prioritize internal and external data assets and work with IT department to set the basic requirement in data sourcing</p></li>
 <li><p>Visualize business insights and data trends in an easy and elegant way</p></li>
 <li><p>Grasp and manage all the steps of the data flow process from the original sources to final analysis and visualization.</p></li>
</ul>
<p class=""""><br></p>
<p class=""""><strong>Profile:</strong></p>
<p class="""">Technical skills</p>
<ul class="" list-paddingleft-2"">
 <li><p>Ability to treat raw data sets to test hypotheses and draw useful conclusions</p></li>
 <li><p>Experience with leading visualization tools (Tableau, BIME, Qlikview)</p></li>
 <li><p>Statistical modeling expertise</p></li>
 <li><p>Proficient in SQL and R statistical package, Python a plus</p></li>
 <li><p>Experience or strong interest in Data Analytics technology trends, particularly on Big Data</p></li>
 <li><p>Familiarity with NoSQL databases (MongoDB)</p></li>
 <li><p>Degree or MS in a quantitative fields like Statistics, Economics, Mathematics, Computing and Engineering</p></li>
 <li><p>Knowledge of any ETL softwares or design of ETL processes is a plus</p></li>
</ul>
<p class=""""><br></p>
<p class="""">Personal skills</p>
<ul class="" list-paddingleft-2"">
 <li><p>A number cruncher: you are a proficient Analyst with superb quantitative skills</p></li>
 <li><p>A naturally multicultural player: you know how to interact with people with different cultures and different background creating trust, respect and an environment open to problem solving</p></li>
 <li><p>A pragmatical,  you always try to handle complex projects and subjects through simpler tasks and solutions</p></li>
 <li><p>A tech lover. You are passionate about Data Analytics, Data Mining, Machine Learning and in particular you‘re on the edge of its evolution both in terms of methodologies and technology solutions.</p></li>
 <li><p>A good communicator, able to make sophisticated analysis easy to understand thanks to compelling and clear arguments.</p></li>
 <li><p>Passion and energy. Because we love what we do, our enthusiasm is infectious. You can’t wait to get the virus as this is what makes you perform at your absolute best and see new challenges as an opportunity to contribute, make an impact, grow.</p></li>
</ul>
<p><br></p>
<p>Please also prepare your English CV!</p>
        </div>"
今日头条招聘,数据仓库与数据分析工程师,25k-40k,北京,经验3-5年,本科及以上,"<div>
        职位职责：
<br>1、负责数据仓库架构设计、建模和ETL开发，构建可扩展的数据仓库和分析解决方案；
<br>2、负责分析和解释产品试验，市场运营活动等结果，为产品改进，推广等提供数据支持；
<br>3、负责建立用户数据分析模型，针对用户行为进行数据监控和统计，发现用户行为模式与规律，为改进推荐系统提供支持。
<br>
<br>职位要求：
<br>1、热爱计算机科学和互联网技术，乐于快速学习和尝试新技术、新工具；
<br>2、具备强悍的编码能力，熟练使用 SQL，熟悉 Python或R语言的优先；
<br>3、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情；
<br>4、熟悉至少一项分布式计算平台，例如Hadoop，Spark，Hive，Storm，Kafka 等；
<br>5、有参与开源项目对社区有贡献的经历，有互联网公司实习经历，有大数据处理或用户行为数据分析经验者优先。
        </div>"
美云智数数据云事业部招聘,高级数据分析师（用户画像...,15k-30k,佛山,经验3-5年,本科及以上,"<div>
        <p>岗位职责：</p>
<p>1、负责用户画像的需求分析和平台产品设计 </p>
<p>2、理解相关数据业务的本质需求，把握用户画像的建设方向，设计和构建基于用户行为特征的平台化画像服务能力 </p>
<p>3、建立用户画像产品的评估机制和监控体系 </p>
<p>4、探索用户画像产品与第三方的数据合作，变现以及商业模式</p>
<p>任职要求：</p>
<p>1、全日制本科或以上学历，数学、统计、中文语言处理、工商管理等相关专业优先考虑；</p>
<p>2、三年以上数据分析或数据产品经验，有丰富的互联网或企业级产品策划和运营经验者优先；</p>
<p>3、熟悉用户画像产品整体实现过程，包括从需求分析到模型开发、产品发布及应用；</p>
<p>4、对数据挖掘、机器学习等基本概念了解，对数据分析和应用敏感；</p>
<p>5、逻辑严谨，具备执行力与抗压力，沟通能力良好，具备团队管理能力和传统行业实施经验者优先；</p>
        </div>"
美甲帮数据部招聘,数据分析师,10k-15k,广州,经验3-5年,本科及以上,"<div>
        <p>岗位职责：<br>1、负责项目的日常数据监控。包括每日、每月和季度分析、重点事件的即时分析；<br>2、 负责构建产品、运营及活动用户行为评估体系，通过数据分析对产品、研发、运营、市场提出建议并推动实施；<br>3、 负责用户行为调研，通过海量数据的挖掘和分析，形成报告，汇报给决策层，支持战略规划；<br>4、整理编写商业数据分析报告，及时发现和分析其中隐含的变化和问题，为业务发展提供决策支。</p>
<p><br>任职资格:<br>1、大学本科以上学历，计算机、电子、数学、经管等相关专业，3年以上对应经验优先；<br>2、熟练掌握多种统计和挖掘方法，熟练使用SPSS、SAS等相关数据分析软件，熟练掌握SQL；<br>3、较强的数据敏感度，逻辑分析能力和文档写作能力；<br>4、有移动端产品数据分析或者数据后台系统相关经验的优先；<br>6、学习能力强，拥有优秀的逻辑思维能力，工作认真负责，沟通能力良好。</p>
<p>注：为了提高面试效率，在电话邀约前，简历已经通过部门初步筛选。</p>
        </div>"
盛华信息运营部招聘,中国联通省公司-数据分析岗,5k-7k,广州,经验不限,大专及以上,"<div>
        <p>岗位职责：支撑客户服务部各项目策划、执行、评估所涉及的基础数据处理，涉及项目包括：五星用户维系、服务感知提升、电话营销等。</p>
<p> </p>
<p>岗位要求：</p>
<p>1.  大专以上学历，计算机或数学专业等相关专业；</p>
<p>2.  有较强的数据分析及处理能力及良好的沟通能力；</p>
<p>3.  有大数据分析工作经验者优先考虑；</p>
<p> </p>
<p>薪酬及福利：</p>
<p>1、基本工资+绩效+各类奖金；</p>
<p>2、五险一金，带薪年假等完善的福利；</p>
<p>3、在职个人能力、学历提升计划；</p>
<p>4、丰富多彩的团建活动。</p>
<p><br></p>
<p>面试地址：广州市天河区起云路11号</p>
<p>工作地点：广州市天河区黄埔大道666号中国联通广东省分公司<br></p>
<p> </p>
        </div>"
金证股份开发部招聘,ETL BI Developer 数据分析师,12k-20k,深圳,经验3-5年,本科及以上,"<div>
        <p>ETL BI Developer（初中高级都招  可年后到岗）</p>
<p>基本要求：全日制统招本科，学信网可查，2年以上相关经验，英文读写ok</p>
<p>上市公司 大平台 技术大牛 </p>
<p><br></p>
<p>我们寻求一个充满活力和激情的个人来担任开发人员/高级开发人员的职位。一位经验丰富的IT专业人员，在应用开发生命周期环境中获得了丰富的经验，利用数据库技术开发企业级关键任务应用系统。开发人员和高级开发人员应分别拥有至少2-6年的相关经验。<br>     <br>    岗位职责：<br>    •与数据架构师紧密合作，用各种数据库、数据仓库、BI工具和必要的编程工具实现数据体系结构设计；<br>    •通过提供ETL包和自动化工具来支持数据分析团队；<br>    •与数据分析师和业务团队紧密合作，用各种数据可视化工具实现BI报告；<br>    •开发软件以达到规定的要求；<br>    •确保软件是按照行业标准惯例编写的；<br>    •调查和解决错误和技术问题；<br>    •分配的其他相关工作<br>     <br>    专长：<br>    •专注于应用各种ETL、BI工具和应用程序开发技术来实现数据架构师设计的数据体系结构；<br>    •专门用各种数据可视化工具编写不同格式的报告；<br>    •能够以脚本或高级编程语言灵活地提供自动化工具；<br>    •了解大数据和/或人工智能技术的知识；<br>    •超越期望和积极的结果导向；<br>    •良好的时间管理者，正直的人；<br>    •学习能力强，有团队合作精神；<br>    •致力于质量，注重细节；<br>    •能够在最低限度的监督下独立工作。<br>     <br>    资格和经验：<br>    •国家认可的大学本科或以上学历，数学、计算机科学或相关专业；<br>    •至少2-6年（开发人员和高级开发人员）在数据应用方面的软件开发经验，最好是金融服务项目；<br>      •精通至少一个公共的商业BI平台、ETL（Extract-Transform-Load）之类的工具（比如SSIS，OWB，DI，Informatica、水晶报表，Cognos，业务对象等），报告工具，等等；<br>    •精通DB2和Oracle数据库以及相关的编程语言，如SQL、至少一种脚本语言和至少一种高级编程语言；<br>    •良好的英语书写能力，粤语流利优先。    </p>

        </div>"
广州荔枝网络有限公司运营部招聘,数据分析员,5k-10k,广州,经验1-3年,本科及以上,"<div>
        <p class=""description"">职位描述：</p>
<p>职位描述：</p>
<p>1.定期提供数据报表，对关键指标进行风险防控。</p>
<p>2.监察采集竞争对手信息数据，定时提交同行分析报告；</p>
<p>3.深入研究数据及用户行为，对用户群进行细分，描绘精准用户画像；</p>
<p>4.对所有影响用户行为和使用体验的要素进行监控，及时将获得的数据和分析结果反馈相关部门，并负责与相关部门的项目协调推进；</p>
<p>5.定期梳理运营数据统计需求，负责后台数据系统的搭建与完善；</p>
<p>6.分析运营数据，并对分析结果召集各板块进行优化。</p>
<p>任职要求：</p>
<p>1.统招本科以上学历，统计、数据、数学等相关专业优先；</p>
<p>2.一年以上数据分析相关经验，熟悉EXCEL、SPSS等软件的应用，有资讯类产品运营实操工作经验尤佳；</p>
<p>3. 对数据敏感，较强的逻辑分析能力和文字表达能力，能从数据中发现问题；</p>
<p>4.有较强的主动能动性和学习能力，具备良好的沟通协调能力，有较强的责任心、足够细心，能建立并严格执行数据保密制度及公布制度。</p>

        </div>"
博雅成信大数据部招聘,数据分析,5k-8k,成都,经验1-3年,本科及以上,"<div>
        <p></p>
<p>岗位描述:</p>
<p>1.建立并维护公司日常ETL工具，并且负责日常数据统计和处理；</p>
<p>2.完善数据分析项目过程中的数据提取、数据分析、数据展示工作；</p>
<p>3.基于数据分析结果，为公司运营决策提供数据支持</p>
<p>任职要求：</p>
<p></p>
<p>1，统计学、数学、金融、计算机等相关专业毕业，一年以上数据分析工作经验；</p>
<p>2，熟练使用ETL数据迁移工具（kettle优先）；</p>
<p>3，熟练使用orcale或者MySQL数据库，能随心所欲提取需求数据；</p>
<p>4，具有较强的sql编写能力（有工具公司表格简历维度表经验优先），能独立完成上级交代的工作；</p>
<p>5，极强的责任心和学习能力、良好的沟通协作能力，团队意识强；</p>
<p>6，要求头脑清晰，有一定抗压能力，有上进心，分配的工作在能按时完成。</p>
<p>7，有良好的沟通能力与思维能力，能与需求人员对接业务。</p>
<p>8，有一定的excel操作经验。</p>

        </div>"
FastlaneE-Commerce招聘,数据分析师,10k-20k,深圳,经验1-3年,本科及以上,"<div>
        <p><strong>关于我们</strong></p>
<p>Fastlane 致力于将优秀的创新产品分享给世界，交付到全球用户手中，协助本土企业建立起国际化的品牌价值。</p>
<p>Fastlane 由来自全球的科技爱好者创立，团队有协助中国企业走向全球市场的营销和技术经验。期待与你共建一个敏捷干练，善于倾听，谋而后动，勇于尝试的集体 。</p>
<p><br></p>
<p><strong>我们需要你</strong></p>
<p>Fastlane 非常重视数据的运营，积累；希望通过数据提高整体运营效率，使业务更自动化，智能化。我们坚信数据科学会给我们带来长期的竞争力，仕而优则学，学而优则仕；期待你的加入，与君共勉。</p>
<p>我们希望你有技术能力和业务视野，最重要的是具备解决实际问题的能力。利用自己的专业技能，与整个团队齐心协力扫除业务上遇到的障碍。在发展的道路上，能结合自己的经验和不懈的学习，形成我们自有的数据运营体系。针对项目在不同运营阶段，建立适当的数据运营机制；尤其是在业务瓶颈期，能形成数据驱动业务增长的特色策略。于此同时，逐步驱动整个分析和决策流程走向自动化，智能化。</p>
<p>同时，在各个具体的业务项目中：</p>
<ul class="" list-paddingleft-2"">
 <li><p>参与为客户制订电商和其他销售项目的目标规划以及具体的执行工作；</p></li>
 <li><p>针对在线营销渠道推广数据，进行数据整理、分析、总结，定期提出合理推广策略建议，协助跟踪推广效果并优化；</p></li>
 <li><p>根据流量数据，整理和分析用户行为和标签数据，挖掘平台流量价值，为销售服务；</p></li>
 <li><p>根据各线上销售项目的运营状况，主动发现问题，并主导专题分析，根据分析的结论，制定目标及行动计划。</p></li>
</ul>
<p><br></p>
<p><strong>岗位要求</strong></p>
<ul class="" list-paddingleft-2"">
 <li><p>本科及以上学历，2年及以上数据行业相关工作经验；</p></li>
 <li><p>对数字敏感，善于通过数据来发现问题，分析问题，进行预测；</p></li>
 <li><p>主动熟悉业务，能在日常处理大量数据的同时保持全局的商业视野；</p></li>
 <li><p>有较强的团队协作意识和沟通能力，勤勉敬业；</p></li>
 <li><p>掌握R/Python/SPSS/SAS等至少一种建模工具或语言；</p></li>
 <li><p>掌握SQL，具有一定的编程基础，能自主进行数据清洗；</p></li>
 <li><p>能按需运用Excel/Tableau/Qlik/Pentaho/Data Studio/Power BI 等工具；</p></li>
 <li><p>具备良好的英语读写能力。</p></li>
</ul>
<p> </p>
<p><strong>理想的候选人</strong></p>
<ul class="" list-paddingleft-2"">
 <li><p>对由数据驱动业务增长感到兴奋，具有极强的主动性，创造力和团队感染力；</p></li>
 <li><p>具有 2C 电商行业工作背景的优先； 有海外生活或者工作背景的优先；科技电子产品狂热粉优先；</p></li>
 <li><p>熟悉决策树、回归、SVM、贝叶斯、神经网络等各类数据挖掘算法的优先；具有机器学习相关工作经验的优先；</p></li>
 <li><p>可以使用英语进行日常听说交流的优先。</p></li>
</ul>
        </div>"
